X,Y,OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
-8852422.609,5430246.993,31,GO-2004564223,2004/07/01 04:00:00+00,2004,July,1,Thursday,183,D31,Shooting,24,Black Creek,24,Black Creek (24),-79.52266531,43.77213497
-8824941.417,5419061.578,32,GO-2004565547,2004/07/05 04:00:00+00,2004,July,5,Monday,187,D41,Stabbing,121,Oakridge,121,Oakridge (121),-79.27579757,43.69953446
-8848257.258,5408383.712,33,GO-2004565561,2004/07/07 04:00:00+00,2004,July,7,Wednesday,189,D22,Stabbing,16,Stonegate-Queensway,16,Stonegate-Queensway (16),-79.48524733,43.63014616
-8850494.115,5420428.038,34,GO-2004564251,2004/07/08 04:00:00+00,2004,July,8,Thursday,190,D31,Stabbing,28,Rustic,28,Rustic (28),-79.50534135,43.70840838
-8840152.934,5429527.175,35,GO-2004565588,2004/07/09 04:00:00+00,2004,July,9,Friday,191,D32,Stabbing,151,Yonge-Doris,51,Willowdale East (51),-79.41244494,43.76746553
-8820517.392,5433290.112,36,GO-2004986698,2004/07/12 04:00:00+00,2004,July,12,Monday,194,D42,Other,146,Malvern East,132,Malvern (132),-79.23605587,43.79187153
-8833906.908,5434675.334,37,GO-2004592201,2004/07/21 04:00:00+00,2004,July,21,Wednesday,203,D33,Shooting,48,Hillcrest Village,48,Hillcrest Village (48),-79.35633594,43.80085341
-8846298.239,5413475.633,38,GO-2004593866,2004/07/23 04:00:00+00,2004,July,23,Friday,205,D11,Other,90,Junction Area,90,Junction Area (90),-79.46764916,43.66324515
-8835059.423,5411541.528,39,GO-2004594159,2004/07/24 04:00:00+00,2004,July,24,Saturday,206,D51,Shooting,73,Moss Park,73,Moss Park (73),-79.36668915,43.65067504
-8844711.104,5413486.238,40,GO-2004607864,2004/08/05 04:00:00+00,2004,August,5,Thursday,218,D11,Other,171,Junction-Wallace Emerson,93,Dovercourt-Wallace Emerson-Junction (93),-79.45339168,43.66331406
-8850326.391,5419575.464,41,GO-2004616055,2004/08/18 04:00:00+00,2004,August,18,Wednesday,231,D31,Stabbing,28,Rustic,28,Rustic (28),-79.50383466,43.70287184
-8843343.393,5419479.276,42,GO-2004605174,2004/08/19 04:00:00+00,2004,August,19,Thursday,232,D13,Stabbing,108,Briar Hill-Belgravia,108,Briar Hill-Belgravia (108),-79.44110533,43.70224717
-8811803.616,5433594.112,43,GO-2004592255,2004/08/30 04:00:00+00,2004,August,30,Monday,243,D42,Shooting,134,Highland Creek,134,Highland Creek (134),-79.15777869,43.7938428
-8835729.931,5411798.053,44,GO-2004635798,2004/08/30 04:00:00+00,2004,August,30,Monday,243,D51,Other,73,Moss Park,73,Moss Park (73),-79.37271244,43.6523424
-8855108.042,5426699.299,45,GO-2004642839,2004/08/31 04:00:00+00,2004,August,31,Tuesday,244,D31,Stabbing,22,Humbermede,22,Humbermede (22),-79.54678897,43.74911769
-8856562.481,5419099.225,46,GO-2004642110,2004/09/05 04:00:00+00,2004,September,5,Sunday,249,D23,Shooting,6,Kingsview Village-The Westway,6,Kingsview Village-The Westway (6),-79.55985441,43.69977896
-8862620.07,5424089.964,47,GO-2004650681,2004/09/21 04:00:00+00,2004,September,21,Tuesday,265,D23,Shooting,1,West Humber-Clairville,1,West Humber-Clairville (1),-79.61427066,43.7321828
-8848873.32,5426134.81,48,GO-2004633558,2004/09/22 04:00:00+00,2004,September,22,Wednesday,266,D11,Other,27,York University Heights,27,York University Heights (27),-79.4907815,43.7454545
-8831784.851,5413061.994,49,GO-2004676448,2004/10/08 04:00:00+00,2004,October,8,Friday,282,D55,Other,70,South Riverdale,70,South Riverdale (70),-79.33727318,43.66055705
-8849960.571,5420867.395,50,GO-2004683174,2004/10/15 04:00:00+00,2004,October,15,Friday,289,D31,Shooting,28,Rustic,28,Rustic (28),-79.50054845,43.71126133
-8846879.141,5411725.811,51,GO-2004643900,2004/10/21 04:00:00+00,2004,October,21,Thursday,295,D11,Other,88,High Park North,88,High Park North (88),-79.47286749,43.65187285
-8836383.212,5419289.349,52,GO-2004696852,2004/10/27 04:00:00+00,2004,October,27,Wednesday,301,D53,Other,99,Mount Pleasant East,99,Mount Pleasant East (99),-79.37858096,43.70101372
-8844280.272,5415302.421,53,GO-2004697185,2004/11/12 05:00:00+00,2004,November,12,Friday,317,D13,Other,92,Corso Italia-Davenport,92,Corso Italia-Davenport (92),-79.44952146,43.67511536
-8841964.316,5414407.136,54,GO-2004734705,2004/12/01 05:00:00+00,2004,December,1,Wednesday,336,D14,Stabbing,172,Dovercourt Village,93,Dovercourt-Wallace Emerson-Junction (93),-79.42871686,43.66929822
-8841964.316,5414407.136,55,GO-2004734705,2004/12/01 05:00:00+00,2004,December,1,Wednesday,336,D14,Stabbing,172,Dovercourt Village,93,Dovercourt-Wallace Emerson-Junction (93),-79.42871686,43.66929822
-8813084.737,5431768.982,56,GO-2004735933,2004/12/02 05:00:00+00,2004,December,2,Thursday,337,D42,Other,133,Centennial Scarborough,133,Centennial Scarborough (133),-79.1692872,43.78200685
-8830839.213,5418507.448,57,GO-2004734029,2004/12/03 05:00:00+00,2004,December,3,Friday,338,D54,Stabbing,58,Old East York,58,Old East York (58),-79.32877836,43.69593552
-8837094.199,5427165.646,58,GO-2004735980,2004/12/11 05:00:00+00,2004,December,11,Saturday,346,D33,Stabbing,40,St.Andrew-Windfields,40,St.Andrew-Windfields (40),-79.38496786,43.75214384
